mo\hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,0.646,2.184,3.541,4.394,4.631,4.349,3.448,2.004,0.403,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
Feb,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,0.019,1.522,3.368,4.941,5.972,6.299,6.43,5.453,3.81,1.808,0.053,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017
Mar,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.006,1.513,3.748,5.814,7.643,8.564,8.704,8.732,7.727,5.844,3.858,1.417,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
Apr,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,1.059,3.426,5.649,7.871,9.477,9.82,9.61,9.512,8.492,7.439,4.954,2.41,0.331,-0.018,-0.018,-0.018,-0.018,-0.018
May,-0.019,-0.019,-0.019,-0.019,-0.019,0.41,2.421,4.658,6.712,8.471,9.89,10.17,10.325,10.14,9.331,8.015,5.974,3.662,1.381,0.007,-0.019,-0.019,-0.019,-0.019
Jun,-0.018,-0.018,-0.018,-0.018,-0.018,0.821,2.852,5.327,7.646,9.382,10.569,10.308,10.504,10.117,9.169,8.051,6.29,3.999,1.806,0.092,-0.018,-0.018,-0.018,-0.018
Jul,-0.019,-0.019,-0.019,-0.019,-0.019,0.484,2.736,5.47,8.358,10.496,11.822,10.249,10.082,9.797,9.437,8.3,6.582,4.204,1.844,0.108,-0.019,-0.019,-0.019,-0.019
Aug,-0.019,-0.019,-0.019,-0.019,-0.019,-0.006,1.533,3.988,6.433,8.286,9.715,9.98,10.293,10.013,8.86,7.095,5.125,2.993,0.876,-0.019,-0.019,-0.019,-0.019,-0.019
Sep,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,0.368,2.539,4.649,6.303,7.486,8.312,8.15,7.936,7.373,5.832,3.423,1.296,0.01,-0.018,-0.018,-0.018,-0.018,-0.018
Oct,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,1.007,2.768,4.399,5.582,6.22,6.45,6.906,5.778,3.717,1.482,0.026,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
Nov,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,0.064,1.148,2.473,2.951,3.372,3.818,4.097,2.903,1.491,0.107,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018
Dec,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,0.561,1.666,2.762,3.382,3.505,3.155,2.432,1.148,-0.015,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
